,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
53,EPI,6588,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1553558,0.7111519,3.876358,2.9566212,Block
54,EPI,6588,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1302043,0.69540334,1.1829768,0.82354665,Phasic
55,EPI,6589,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.120878,0.6844303,2.377895,2.1266413,Block
56,EPI,6589,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0898505,0.6794822,0.7710288,0.755546,Phasic
57,EPI,6589,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1490465,0.70002466,0.76034504,0.6941577,Block
58,EPI,6589,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofMr1/sub-6589_ses-ofMr1_task-CogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1068285,0.6819215,0.88222575,0.66451454,Phasic
59,EPI,6590,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogBm_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.390981,0.7978263,6.5369015,3.882206,Block
60,EPI,6590,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6590/ses-ofM/sub-6590_ses-ofM_task-CogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.3331954,0.78354716,1.9641615,0.9165499,Phasic
61,EPI,6591,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogBm_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.5680734,0.88470054,7.0243454,5.4279613,Block
62,EPI,6591,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6591/ses-ofM/sub-6591_ses-ofM_task-CogP_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.7617418,1.0111389,1.2029645,0.9735359,Phasic
63,EPI,6592,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofM/sub-6592_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.2502344,0.7235484,3.8753548,3.0899153,Block
64,EPI,6592,ofMr1,CogMwf,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6592/ses-ofMr1/sub-6592_ses-ofMr1_task-CogMwf_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.181661,0.7235566,3.8684912,2.1918073,Block
65,EPI,6593,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1599711,0.71072066,0.9663838,0.52741385,Block
66,EPI,6593,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6593/ses-ofM/sub-6593_ses-ofM_task-CogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1292304,0.69997835,0.7414321,0.44108745,Phasic
67,EPI,6639,ofM,CogBm,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogBm_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1918977,0.71049815,5.2341523,4.17586,Block
68,EPI,6639,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6639/ses-ofM/sub-6639_ses-ofM_task-CogP_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1278987,0.7022734,2.0080197,1.0749367,Phasic
69,EPI,6642,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.204719,0.7113175,10.497411,12.573082,Block
70,EPI,6642,ofM,CogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6642/ses-ofM/sub-6642_ses-ofM_task-CogP_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1489807,0.7067822,1.669004,1.1748216,Phasic
71,EPI,6643,ofM,CogBm,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogBm_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1952838,0.71335196,4.43714,3.7025487,Block
72,EPI,6643,ofM,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6643/ses-ofM/sub-6643_ses-ofM_task-CogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1360565,0.69671446,2.4781299,1.565149,Phasic
73,EPI,6654,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6654/ses-ofMr1/sub-6654_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1438272,0.70404005,2.0720568,1.492529,Block
74,EPI,6655,ofM,CogB,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofM/sub-6655_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1485013,0.7059254,0.97425133,0.62226015,Block
75,EPI,6655,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6655/ses-ofMr1/sub-6655_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1266223,0.695179,0.6814964,0.42599347,Block
