,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
0,EPI,3839,ofM,CogBr,1,CBV,/root/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1244837,0.69511425,1.8250688,1.1065731,Block
1,EPI,3839,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0757412,0.66801095,1.1033788,0.87940955,Phasic
2,EPI,5682,ofMr1,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.227825,0.72943306,0.91988343,0.6153003,Block
3,EPI,5682,ofMr2,CogBl,0,CBV,/root/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.179016,0.716992,1.6257782,1.3786952,Block
4,EPI,5683,ofM,CogBl,0,CBV,/root/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1981323,0.726524,2.833921,2.4538689,Block
5,EPI,5683,ofMr1,CogBl,0,CBV,/root/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1772465,0.720449,1.3784102,1.0986123,Block
6,EPI,5685,ofM,CogB,1,CBV,/root/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.2305354,0.7358702,2.1930652,1.4073322,Block
7,EPI,5685,ofM,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1060902,0.6764746,1.0180192,0.40211096,Phasic
8,EPI,5685,ofMr1,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.153261,0.7090868,1.8882813,1.2482997,Block
9,EPI,6257,ofM,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1843929,0.7171776,2.0270984,1.2323928,Block
10,EPI,6259,ofM,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1717719,0.7128605,2.016392,1.5383954,Block
11,EPI,6259,ofMr1,CogB,1,CBV,/root/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1417491,0.70704687,2.1681643,1.6295288,Block
12,EPI,6259,ofMr1,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0989953,0.68080664,0.81405413,0.40091354,Phasic
13,EPI,6260,ofM,CogB,0,CBV,/root/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1849252,0.7262031,1.5542732,1.031337,Block
14,EPI,6260,ofMr2,CogB,1,CBV,/root/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1307641,0.696311,2.3680828,1.5627077,Block
15,EPI,6260,ofMr2,JPogP,0,CBV,/root/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0877635,0.6740092,0.8974676,0.69978046,Phasic
