,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
0,EPI,3839,ofM,CogBr,1,CBV,/home/ito/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1251596,0.69655716,1.8293947,0.8807419,Block
1,EPI,3839,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-3839/ses-ofM/sub-3839_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0763074,0.6654606,0.89533126,0.5616069,Phasic
2,EPI,5682,ofMr1,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5682/ses-ofMr1/sub-5682_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.2262074,0.7256678,0.9620248,0.35468006,Block
3,EPI,5682,ofMr2,CogBl,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5682/ses-ofMr2/sub-5682_ses-ofMr2_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1799145,0.7138429,1.9362636,1.3225896,Block
4,EPI,5683,ofM,CogBl,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5683/ses-ofM/sub-5683_ses-ofM_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1990665,0.72321045,2.740508,2.7151084,Block
5,EPI,5683,ofMr1,CogBl,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5683/ses-ofMr1/sub-5683_ses-ofMr1_task-CogBl_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1756333,0.71745294,1.285621,1.0485204,Block
6,EPI,5685,ofM,CogB,1,CBV,/home/ito/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.230937,0.7386262,2.3587847,1.4978046,Block
7,EPI,5685,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5685/ses-ofM/sub-5685_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1076338,0.68415904,1.3343701,0.62085724,Phasic
8,EPI,5685,ofMr1,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-5685/ses-ofMr1/sub-5685_ses-ofMr1_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.151362,0.71158886,1.9314096,1.568922,Block
9,EPI,6257,ofM,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6257/ses-ofM/sub-6257_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1856767,0.7200041,2.0434496,1.151025,Block
10,EPI,6259,ofM,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6259/ses-ofM/sub-6259_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1706681,0.7140733,1.9537792,1.3289143,Block
11,EPI,6259,ofMr1,CogB,1,CBV,/home/ito/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.141706,0.70839345,1.8155901,1.5546355,Block
12,EPI,6259,ofMr1,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6259/ses-ofMr1/sub-6259_ses-ofMr1_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1010238,0.6794437,0.7031057,0.55661964,Phasic
13,EPI,6260,ofM,CogB,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6260/ses-ofM/sub-6260_ses-ofM_task-CogB_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1850586,0.7279303,1.6059293,1.2294079,Block
14,EPI,6260,ofMr2,CogB,1,CBV,/home/ito/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1351638,0.7000512,2.2903922,1.3522534,Block
15,EPI,6260,ofMr2,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0877434,0.6753347,0.8409315,0.48967046,Phasic
16,EPI,6467,ofM,CogB,1,CBV,/home/ito/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1485273,0.7037029,0.73608637,0.40641075,Block
17,EPI,6467,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1019671,0.68120307,1.4020586,1.0242479,Phasic
18,EPI,6468,ofM,CogB,1,CBV,/home/ito/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-CogB_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1286691,0.6985733,1.5681193,1.1147559,Block
19,EPI,6468,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.0786166,0.670287,1.5594662,1.279077,Phasic
20,EPI,6471,ofM,CogBr,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6471/ses-ofM/sub-6471_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1320591,0.696201,0.8162384,0.6004091,Block
21,EPI,6471,ofMr1,CogBr,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6471/ses-ofMr1/sub-6471_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1565506,0.72009456,1.091082,0.581102,Block
22,EPI,6560,ofM,CogBr,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6560/ses-ofM/sub-6560_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1489317,0.709682,1.129533,0.6743536,Block
23,EPI,6560,ofMr1,CogBr,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6560/ses-ofMr1/sub-6560_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1242428,0.6878317,1.9842867,1.3716567,Block
24,EPI,6562,ofM,CogBr,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6562/ses-ofM/sub-6562_ses-ofM_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1128459,0.69596267,1.094283,0.5493082,Block
25,EPI,6562,ofMr1,CogBr,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6562/ses-ofMr1/sub-6562_ses-ofMr1_task-CogBr_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1228505,0.6962977,1.052348,0.87966573,Block
26,EPI,6573,ofM,CogBr,1,CBV,/home/ito/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1438769,0.6979213,5.1048527,4.0219164,Block
27,EPI,6573,ofM,JPogP,0,CBV,/home/ito/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-JPogP_acq-EPI_run-0_desc-pfstat_cbv.nii.gz,1.1075358,0.68569493,1.2152193,0.782552,Phasic
28,EPI,6573,ofMr1,CogBr,1,CBV,/home/ito/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogBr_acq-EPI_run-1_desc-pfstat_cbv.nii.gz,1.1497245,0.71239567,1.9456463,1.3522553,Block
